p,d_40,eabc_p,e_d,a_d,b_d,c_d,omega_d,shell_d,H_d,E_d
3187,3147,B,0,1,0,0,2,1,1.0,-0.0
3191,3151,C,0,1,0,1,2,0,0.5,1.0
3203,3163,C,0,0,1,0,1,0,1.0,-0.0
3209,3169,A,1,0,0,0,1,0,1.0,-0.0
3217,3177,E,0,1,0,0,3,2,1.0,-0.0
3221,3181,A,1,0,0,0,1,0,1.0,-0.0
3229,3189,E,0,0,1,0,2,1,1.0,-0.0
3251,3211,C,2,0,1,0,3,0,0.5555555555555556,0.9182958340544896
3253,3213,E,0,1,1,0,5,3,0.5,1.0
3257,3217,A,1,0,0,0,1,0,1.0,-0.0
3259,3219,B,1,1,0,0,3,1,0.5,1.0
3271,3231,B,0,0,0,1,3,2,1.0,-0.0
3299,3259,C,0,0,1,0,1,0,1.0,-0.0
3301,3261,E,0,0,1,0,2,1,1.0,-0.0
3307,3267,B,0,0,0,2,5,3,1.0,-0.0
3313,3273,E,0,0,0,1,2,1,1.0,-0.0
3319,3279,B,1,0,0,0,2,1,1.0,-0.0
3323,3283,C,0,0,3,0,3,0,1.0,-0.0
3329,3289,A,1,0,0,2,3,0,0.5555555555555556,0.9182958340544896
3331,3291,B,0,1,0,0,2,1,1.0,-0.0
3343,3303,B,0,0,1,0,3,2,1.0,-0.0
3347,3307,C,0,0,1,0,1,0,1.0,-0.0
3359,3319,C,0,0,1,0,1,0,1.0,-0.0
3361,3321,E,0,1,0,0,5,4,1.0,-0.0
3371,3331,C,0,0,1,0,1,0,1.0,-0.0
3373,3333,E,0,1,0,1,3,1,0.5,1.0
3389,3349,A,0,2,0,0,2,0,1.0,-0.0
3391,3351,B,1,0,0,0,2,1,1.0,-0.0
3407,3367,C,2,0,1,0,3,0,0.5555555555555556,0.9182958340544896
3413,3373,A,1,0,0,0,1,0,1.0,-0.0
3433,3393,E,1,1,0,0,4,2,0.5,1.0
3449,3409,A,0,0,2,0,2,0,1.0,-0.0
3457,3417,E,0,1,1,0,3,1,0.5,1.0
